,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0027149322,0.0,0.004524887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014479638,0.0018099548,0.0,0.0036199095,0.0,0.0009049774,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013574661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0009049774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063348417,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.0036199095,0.0009049774,0.0,0.0009049774,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.0018099548,0.0009049774,0.0,0.0036199095,0.007239819,0.0,0.0,0.0,0.0063348417,0.0,0.0,0.0,0.0009049774,0.0,0.0018099548
6,0.0054298644,0.0009049774,0.0,0.032579187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.008144797,0.0,0.0036199095,0.0,0.0009049774,0.0063348417,0.0,0.0027149322,0.0009049774,0.0,0.0,0.0009049774,0.0,0.0,0.0009049774
7,0.004524887,0.0,0.021719458,0.0,0.0036199095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018099548,0.0,0.017194571,0.018099548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054298644
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.0,0.0009049774,0.009049774,0.0,0.026244344,0.0036199095,0.0009049774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03167421,0.0018099548,0.0,0.0,0.0036199095,0.0,0.0
9,0.0009049774,0.0,0.0,0.0,0.0018099548,0.0027149322,0.0,0.0063348417,0.0,0.0,0.0,0.0,0.0,0.0099547515,0.0009049774,0.0009049774,0.0,0.0,0.0,0.0009049774,0.0009049774,0.0,0.0,0.012669683,0.0,0.0,0.0036199095,0.0,0.0,0.0,0.0009049774,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.0,0.0018099548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009049774,0.0009049774,0.0,0.0009049774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037104074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018099548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0063348417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063348417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0009049774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
