,0,1,2,3,4,5,6,7,8,9,10,11
0,0.1,0.0,0.3,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1
1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.3,0.1,0.3,0.0,0.1
2,0.0,0.0,0.5,0.0,0.0,0.6,0.1,0.0,0.2,0.0,0.1,0.0
3,0.3,0.0,0.1,0.0,0.4,0.3,0.0,0.2,0.1,0.0,0.0,0.0
4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.2,0.1,0.0
5,0.1,0.0,0.0,0.0,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.0
7,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.3
8,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.2,0.3,0.1
9,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.0,0.1,0.2
10,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1
11,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
