,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_10,0.0,4.0,1.0,30.0,28.0,27.0,0.0,212.0,3.0,0.0,12.0,0.0,273.0,3.0,126.0,22.0,3.0,9.0,0.0,102.0,26.0,7.0,11.0,14.0,37.0,4.0,0.0,0.0,34.0,4.0,5.0,5.0
layer_11,55.0,0.0,0.0,0.0,0.0,9.0,0.0,31.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,70.0,4.0,0.0,1.0,28.0,47.0,4.0,56.0,3.0,4.0,0.0,44.0,5.0,22.0,2.0
layer_12,76.0,55.0,46.0,20.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,5.0,6.0,6.0,36.0,0.0,11.0,1.0,9.0,2.0,1.0,30.0,16.0,3.0,18.0,0.0,0.0,0.0,307.0
layer_13,5.0,52.0,233.0,0.0,157.0,1.0,28.0,2.0,0.0,50.0,27.0,2.0,0.0,75.0,2.0,107.0,11.0,10.0,16.0,7.0,0.0,23.0,57.0,130.0,18.0,7.0,23.0,22.0,0.0,43.0,61.0,35.0
layer_14,4.0,75.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,457.0,0.0,111.0,0.0,0.0,0.0,2.0,65.0,6.0,1.0,2.0,0.0,3.0,13.0,37.0,1.0,0.0,0.0,0.0
layer_15,34.0,26.0,34.0,61.0,2.0,1.0,1.0,7.0,28.0,10.0,1.0,1.0,0.0,35.0,1.0,27.0,1.0,0.0,1.0,17.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,31.0,0.0,48.0
layer_16,63.0,1.0,0.0,0.0,0.0,1.0,117.0,14.0,12.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,19.0,0.0,0.0,3.0,1.0,119.0,5.0,1.0,74.0,6.0,1.0,0.0,2.0,4.0
layer_17,4.0,0.0,0.0,4.0,217.0,55.0,40.0,1.0,0.0,1.0,7.0,15.0,9.0,15.0,13.0,3.0,3.0,13.0,115.0,3.0,76.0,5.0,18.0,49.0,0.0,0.0,1.0,1.0,10.0,4.0,0.0,0.0
layer_18,1.0,0.0,1.0,0.0,17.0,362.0,58.0,160.0,33.0,0.0,74.0,0.0,4.0,3.0,74.0,9.0,12.0,31.0,2.0,7.0,2.0,0.0,0.0,0.0,5.0,23.0,0.0,0.0,5.0,0.0,0.0,21.0
layer_19,5.0,25.0,47.0,0.0,17.0,7.0,2.0,6.0,3.0,0.0,0.0,3.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,22.0,6.0,0.0,25.0,1.0,126.0,19.0,93.0
layer_20,0.0,1.0,1.0,7.0,5.0,0.0,1.0,4.0,0.0,1.0,0.0,65.0,14.0,0.0,2.0,5.0,6.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,18.0,32.0,1.0,0.0,1.0,1.0
layer_21,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,21.0,2.0,4.0,0.0,40.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,12.0,5.0
layer_22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
layer_23,0.0,3.0,74.0,52.0,3.0,290.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,4.0,29.0,9.0,0.0,10.0,9.0,7.0,3.0,29.0,15.0,0.0,1.0,2.0,1.0
layer_24,3.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,57.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0
layer_26,0.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,36.0,24.0,2.0,21.0,1.0,9.0,5.0,1.0,0.0,27.0,4.0,1.0
layer_27,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,82.0,0.0,5.0,31.0,0.0,38.0,3.0,2.0,230.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
layer_28,0.0,0.0,0.0,1.0,7.0,2.0,272.0,3.0,106.0,6.0,19.0,1.0,9.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,24.0,0.0
layer_29,0.0,0.0,6.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,32.0,0.0,1.0,0.0,8.0,3.0,0.0,1.0,15.0,0.0,0.0,0.0,2.0,143.0,14.0,32.0,54.0,25.0,0.0,2.0
layer_30,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,357.0,0.0,1.0,0.0,37.0,2.0,8.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0
layer_31,20.0,367.0,38.0,6.0,2.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,65.0,63.0,11.0,4.0,0.0,0.0,0.0,3.0
