,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,18,0,11,0,0,0,18,10,12,14,6,14
layer_1,9,13,18,9,10,12,9,13,9,9,10,0
layer_2,12,9,6,6,11,10,9,11,12,14,14,9
layer_3,9,9,6,3,9,9,4,10,12,9,9,14
layer_4,9,11,9,8,9,9,9,2,10,9,9,7
layer_5,9,9,11,9,9,9,10,9,9,9,9,9
layer_6,12,9,9,9,13,9,9,9,12,9,9,9
layer_7,12,9,9,9,10,9,9,9,9,9,9,9
layer_8,9,9,9,9,9,9,14,10,9,9,9,9
layer_9,9,9,9,9,9,9,9,9,13,9,9,9
layer_10,10,9,9,9,9,9,9,9,9,9,9,9
layer_11,10,9,9,9,9,9,9,9,11,9,9,9
