,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.094736844,0.031578947,0.21052632,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.17894737,0.0,0.0,0.0,0.0,0.021052632,0.031578947,0.0,0.0,0.021052632,0.031578947,0.0,0.06315789,0.05263158,0.10526316,0.021052632,0.010526316,0.0,0.0,0.0,0.0
1,0.0,0.010526316,0.0,0.010526316,0.010526316,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.031578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.021052632,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.042105265
4,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.010526316,0.010526316,0.0,0.0,0.0,0.021052632,0.031578947,0.010526316,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.042105265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.14736842,0.0,0.010526316,0.0,0.094736844,0.042105265,0.0,0.0,0.0,0.010526316,0.0,0.0,0.021052632,0.0,0.0,0.0,0.010526316,0.0,0.0
6,0.05263158,0.0,0.021052632,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.08421053,0.0,0.0
7,0.010526316,0.0,0.0,0.0,0.031578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.010526316,0.042105265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.021052632,0.031578947,0.010526316,0.042105265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526316,0.0,0.0,0.031578947,0.0,0.0
9,0.042105265,0.0,0.021052632,0.0,0.010526316,0.06315789,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.11578947,0.0,0.031578947,0.0,0.0,0.0,0.010526316,0.010526316,0.0,0.0,0.021052632,0.0,0.0,0.094736844,0.0,0.042105265,0.010526316,0.010526316,0.042105265
10,0.010526316,0.021052632,0.0,0.042105265,0.0,0.010526316,0.0,0.021052632,0.010526316,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.010526316,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.021052632,0.010526316,0.0,0.010526316,0.031578947,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.031578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.021052632,0.0,0.021052632,0.0
13,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.010526316,0.0
14,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
