,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.21052632,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.12631579,0.15789473,0.0,0.0,0.0,0.0,0.0,0.0,0.08421053,0.0,0.0,0.031578947,0.0,0.18947369
1,0.042105265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042105265,0.0,0.010526316,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.010526316,0.010526316,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.010526316,0.010526316,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.010526316,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.07368421,0.021052632,0.0,0.0,0.0,0.094736844,0.0,0.031578947,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.042105265,0.0,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0,0.010526316,0.0,0.010526316,0.042105265
9,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.010526316,0.0,0.010526316,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042105265,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0
10,0.0,0.0,0.0,0.0,0.010526316,0.05263158,0.0,0.010526316,0.0,0.0,0.0,0.0,0.021052632,0.0,0.06315789,0.031578947,0.0,0.0,0.0,0.094736844,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.021052632,0.0,0.0
11,0.0,0.0,0.021052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.15789473,0.0,0.0,0.0,0.021052632,0.021052632,0.05263158,0.0,0.0,0.0,0.0,0.0,0.021052632,0.010526316,0.0
12,0.042105265,0.06315789,0.031578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.010526316,0.05263158,0.031578947,0.0,0.0,0.0,0.0,0.10526316
13,0.0,0.042105265,0.08421053,0.0,0.031578947,0.0,0.0,0.0,0.0,0.021052632,0.010526316,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.021052632,0.0,0.0,0.010526316,0.0,0.042105265,0.010526316,0.0,0.0,0.010526316,0.0,0.021052632,0.021052632,0.031578947
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.12631579,0.031578947,0.0,0.0,0.0,0.0,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.010526316,0.06315789,0.0,0.021052632,0.010526316,0.021052632,0.010526316,0.042105265,0.0,0.05263158,0.0,0.0,0.0,0.08421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094736844,0.0,0.0,0.10526316
16,0.021052632,0.0,0.0,0.0,0.0,0.021052632,0.031578947,0.010526316,0.0,0.0,0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.021052632,0.010526316,0.0,0.010526316,0.0,0.0,0.010526316,0.0,0.0,0.094736844,0.021052632,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.042105265,0.042105265,0.031578947,0.0,0.0,0.010526316,0.010526316,0.042105265,0.0,0.010526316,0.0,0.010526316,0.010526316,0.0,0.21052632,0.010526316,0.07368421,0.0,0.094736844,0.010526316,0.0,0.0,0.0,0.0,0.021052632,0.021052632,0.0,0.0
