,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,50,1,737,0,0,0,3,0,2,1,0,24,0,0,0,11,0,0,0,0,0,10,0,12,7,70,2,9,0,0,0,0
layer_1,15,254,0,1,0,3,1,0,0,0,0,0,27,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0
layer_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
layer_3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2
layer_5,0,0,3,6,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,13,0,0
layer_6,0,16,0,0,2,0,0,0,23,0,686,9,0,0,0,0,119,0,0,6,1,0,0,0,0,14,0,0,0,1,7,0
layer_7,0,1,73,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
layer_8,0,0,0,0,46,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,127,0,0,0,0,0,0,1,0,1
layer_9,0,0,0,0,0,0,0,0,4,71,0,476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
layer_10,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,77,0,1,1,0,1,6,0,1,2,14,1,0,0,1,0
layer_11,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,199,17,0,104,0,0,0,0,0,1,0,0,0,0,0,112
layer_12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,11,10,0,0,0,7,1,5,1,2,0,0,0,0
layer_13,0,0,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13,1,39,0,0,0,0,3,0,19
layer_14,0,0,0,0,0,0,0,0,77,10,0,156,1,0,1,0,0,0,0,0,0,0,0,0,0,13,498,0,0,0,0,0
layer_15,1,0,0,0,25,29,49,84,13,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
layer_16,0,0,0,0,1,0,2,0,0,0,0,94,0,2,3,0,0,3,65,0,0,0,37,0,0,0,0,0,0,77,0,6
layer_17,0,0,0,21,68,22,0,5,0,0,0,75,0,12,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,31,0
layer_18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
layer_19,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
layer_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0
layer_21,2,0,0,0,237,6,2,7,0,3,9,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
layer_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1
layer_24,0,33,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,1,2,1,1
layer_26,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0
layer_29,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
layer_30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0
layer_31,1,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
