,0,1,2,3,4,5,6,7,8,9,10,11
0,0.1375,0.025,0.0,0.0375,0.1625,0.05,0.1875,0.075,0.05,0.1875,0.0,0.125
1,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
2,0.0,0.0,0.0,0.0,0.0125,0.0,0.1375,0.0125,0.0125,0.0,0.0125,0.0
3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125
4,0.05,0.0,0.0,0.0875,0.025,0.0,0.0125,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0
9,0.0,0.0,0.0125,0.0,0.0,0.025,0.025,0.0,0.1125,0.0,0.0,0.0
10,0.0125,0.0,0.0625,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.2875,0.0,0.0,0.0
