,0,1,2,3,4,5,6,7,8,9,10,11
0,0.2,0.4,0.4,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.0,0.4
1,0.6,0.4,0.0,0.0,0.0,0.4,0.2,0.4,0.4,0.2,0.2,0.2
2,0.4,0.6,0.2,0.0,0.0,0.8,0.4,0.0,0.2,0.8,0.0,0.0
3,0.4,0.2,0.4,0.0,0.2,0.4,0.4,0.8,0.0,0.0,0.0,0.2
4,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.6,0.6,0.6,0.4
5,0.2,0.2,0.4,0.0,0.0,0.4,0.4,0.4,0.2,0.2,0.0,0.2
6,0.0,0.0,0.0,0.6,0.6,0.0,0.4,0.2,0.4,0.2,0.0,0.4
7,0.6,0.4,0.4,0.2,0.0,0.4,0.0,0.0,0.2,0.4,0.4,0.2
8,0.4,0.0,0.6,0.2,0.0,0.2,0.4,0.2,0.0,0.2,0.8,0.2
9,0.0,0.0,0.4,0.4,0.4,0.2,0.4,0.0,0.4,0.0,0.2,0.2
10,0.2,0.4,0.0,0.4,0.4,0.0,0.4,0.4,0.4,0.6,0.4,0.0
11,0.4,0.0,0.2,0.2,0.6,0.6,0.4,0.2,0.2,0.4,0.0,0.2
